channel,K,recall,n_found,n_attack
sequence,1,0.0,0,12
sequence,3,0.08333333333333333,1,12
sequence,5,0.16666666666666666,2,12
sequence,10,0.25,3,12
sequence,15,0.4166666666666667,5,12
sequence,20,0.4166666666666667,5,12
frequency,1,0.08333333333333333,1,12
frequency,3,0.25,3,12
frequency,5,0.4166666666666667,5,12
frequency,10,0.8333333333333334,10,12
frequency,15,1.0,12,12
frequency,20,1.0,12,12
context,1,0.08333333333333333,1,12
context,3,0.25,3,12
context,5,0.4166666666666667,5,12
context,10,0.8333333333333334,10,12
context,15,1.0,12,12
context,20,1.0,12,12
drift,1,0.0,0,12
drift,3,0.0,0,12
drift,5,0.0,0,12
drift,10,0.0,0,12
drift,15,0.08333333333333333,1,12
drift,20,0.08333333333333333,1,12
fused,1,0.08333333333333333,1,12
fused,3,0.25,3,12
fused,5,0.4166666666666667,5,12
fused,10,0.8333333333333334,10,12
fused,15,1.0,12,12
fused,20,1.0,12,12
